"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1871639",76.02,9.90,0.00,"Detalle","H",0
"1871640",46.57,10.00,0.00,"Panorámica","H",0
"1871657",27.40,24.80,0.00,"Panorámica","H",0
"1871658",25.10,7.27,0.00,"Panorámica","H",0
"1871669",36.30,37.38,1.75,"Panorámica","H",0
"1871670",24.59,40.70,0.00,"Panorámica","H",0
"1871710",45.42,27.31,0.00,"Panorámica","H",0
"1871713",41.67,23.18,0.00,"Panorámica","H",0
"1871719",10.75,27.57,1.93,"Panorámica","H",0
"1871720",11.99,26.45,2.09,"Panorámica","H",0
"1871722",27.95,22.87,0.00,"Panorámica","H",0
"1871732",46.44,17.15,0.00,"Panorámica","H",0
"1871733",32.13,20.99,0.00,"Panorámica","H",0
"1871734",30.22,21.18,0.00,"Panorámica","H",0
"1871735",31.48,25.31,0.00,"Panorámica","H",0
"1871739",32.19,26.91,0.00,"Panorámica","H",0
"1871751",62.34,15.98,0.00,"Detalle","H",0
"1871752",67.46,15.69,0.00,"Detalle","H",0
"1871765",13.84,28.82,0.00,"Panorámica","H",0
"1871766",9.89,31.09,0.00,"Panorámica","H",0
"1871767",38.57,25.28,0.00,"Panorámica","H",0
"1871776",45.53,23.34,0.00,"Panorámica","H",0
"1871780",64.31,9.50,0.00,"Detalle","H",0
"1871787",50.75,23.85,0.00,"Panorámica","H",0
"1871983",4.60,35.93,5.62,"Panorámica","H",0
"1872002",16.58,67.41,6.90,"Panorámica","H",0
"1872013",0.00,49.55,1.12,"Panorámica","H",0
"1872026",56.79,22.14,3.98,"Panorámica","H",0
"1872069",8.82,40.90,3.57,"Panorámica","H",0
"1872183",33.20,29.31,0.00,"Panorámica","H",0
"1872187",8.68,43.58,0.00,"Panorámica","H",0
"1872188",35.34,48.64,0.00,"Panorámica","H",0
"1872190",45.76,23.85,0.00,"Panorámica","H",0
"1872192",45.96,45.52,0.00,"Panorámica","H",0
"1872193",33.74,32.81,0.00,"Panorámica","H",0
"1872195",0.00,45.64,0.00,"Panorámica","H",0
"1872196",22.51,45.80,0.00,"Panorámica","H",0
"1872197",5.72,40.12,0.00,"Panorámica","H",0
"1872198",6.19,37.21,0.00,"Panorámica","H",0
"1872199",5.53,54.70,0.00,"Panorámica","H",0
"1872200",15.25,52.05,0.00,"Panorámica","H",0
"1872201",31.71,42.13,0.00,"Panorámica","H",0
"1872202",22.41,53.43,0.00,"Panorámica","H",0
"1872203",13.11,50.62,0.00,"Panorámica","H",0
"1872204",30.64,62.45,0.00,"Panorámica","H",0
"1872206",14.67,42.13,0.00,"Panorámica","H",0
"1872210",32.95,33.66,0.00,"Panorámica","H",0
"1872213",24.35,25.54,0.00,"Panorámica","H",0
"1872214",39.78,57.28,0.00,"Panorámica","H",0
"1872215",22.26,19.75,0.00,"Panorámica","H",0
"1872216",26.20,15.52,0.00,"Panorámica","H",0
"1872217",30.17,12.31,0.00,"Panorámica","H",0
"1872218",0.00,18.78,0.00,"Panorámica","H",0
"1872222",8.87,60.66,0.00,"Panorámica","H",0
"1872359",38.93,27.95,3.94,"Panorámica","H",0
"1872362",24.92,42.86,0.00,"Panorámica","H",0
"1872368",13.38,43.11,5.25,"Panorámica","H",0
"1872369",17.14,29.91,5.12,"Panorámica","H",0
"1872372",50.47,13.78,0.00,"Detalle","H",0
"1872430",10.27,43.60,0.00,"Panorámica","H",0
"1872431",5.33,48.19,0.00,"Panorámica","H",0
"1872436",21.62,34.01,0.00,"Panorámica","H",0
"1872449",35.01,14.37,2.17,"Panorámica","H",0
"1872451",21.76,20.10,0.00,"Panorámica","H",0
"1872452",12.32,32.36,0.00,"Panorámica","H",0
"1872459",9.74,35.95,0.00,"Panorámica","H",0
"1872464",27.60,24.19,2.73,"Panorámica","H",0
"1872472",22.56,45.99,2.12,"Panorámica","H",0
