"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"NO ABANDONO",50.70,5.69,0.00,8.53,32.72,0.00,2.34
"ABANDONO",7.35,31.40,17.34,26.19,17.71,0.00,0.00
"NO ABANDONO",50.14,0.00,26.43,6.15,17.25,0.00,0.00
"ABANDONO",0.00,57.25,0.00,36.93,5.81,0.00,0.00
"NO ABANDONO",44.06,4.47,34.18,3.74,13.53,0.00,0.00
"ABANDONO",0.00,31.47,20.19,15.05,31.87,0.00,1.39
"ABANDONO",0.00,38.58,0.00,8.88,26.01,0.00,26.52
"ABANDONO",0.00,59.41,0.00,0.00,5.03,0.00,35.54
"ABANDONO",15.35,14.72,0.00,56.41,10.95,0.00,2.54
"NO ABANDONO",42.20,1.30,13.39,10.33,24.10,1.78,0.00
"NO ABANDONO",48.22,1.53,34.73,0.00,15.50,0.00,0.00
"NO ABANDONO",60.79,2.75,0.00,0.00,14.48,20.19,1.76
"ABANDONO",0.00,45.59,0.00,13.78,40.61,0.00,0.00
"ABANDONO",0.00,22.12,26.86,13.39,37.61,0.00,0.00
"ABANDONO",19.74,64.82,0.00,13.13,0.00,0.00,2.30
"ABANDONO",0.00,54.80,6.86,12.21,26.11,0.00,0.00
"NO ABANDONO",65.29,1.62,27.28,4.45,1.33,0.00,0.00
"NO ABANDONO",42.41,1.40,50.74,0.00,5.43,0.00,0.00
"ABANDONO",17.17,57.14,0.00,0.00,0.00,0.00,25.67
"ABANDONO",24.62,51.85,3.54,0.00,3.65,0.00,16.32
"NO ABANDONO",49.37,1.63,35.60,7.84,5.53,0.00,0.00
"NO ABANDONO",49.37,1.63,35.60,7.84,5.53,0.00,0.00
"NO ABANDONO",49.37,1.63,35.60,7.84,5.53,0.00,0.00
"ABANDONO",17.71,37.15,0.00,31.96,1.85,0.00,11.32
"ABANDONO",14.02,8.15,0.00,55.45,4.83,0.00,0.00
"NO ABANDONO",43.73,1.82,28.97,0.00,21.32,0.00,2.35
"ABANDONO",13.92,25.13,0.00,52.85,8.08,0.00,0.00
"ABANDONO",3.40,9.56,20.33,51.37,15.31,0.00,0.00
"ABANDONO",20.18,23.71,0.00,35.72,14.21,0.00,6.16
"ABANDONO",9.57,49.27,0.00,37.35,3.78,0.00,0.00
"NO ABANDONO",46.83,0.00,47.75,0.00,5.40,0.00,0.00
"NO ABANDONO",50.90,7.88,32.89,0.00,8.32,0.00,0.00
"ABANDONO",15.89,27.27,5.78,44.40,6.64,0.00,0.00
"ABANDONO",5.74,74.88,4.55,1.92,5.98,0.00,0.00
"NO ABANDONO",56.18,1.51,28.84,0.00,7.61,0.00,0.00
"NO ABANDONO",32.10,11.83,34.85,0.00,19.30,0.00,1.89
"NO ABANDONO",22.86,0.00,44.41,0.00,24.54,0.00,6.33
"ABANDONO",10.05,57.23,0.00,17.85,14.85,0.00,0.00
"NO ABANDONO",37.08,0.00,28.29,11.03,0.00,0.00,23.59
"ABANDONO",0.00,31.84,48.47,3.54,8.22,0.00,7.91
"NO ABANDONO",13.18,0.00,38.38,3.37,38.31,0.00,6.73
"NO ABANDONO",40.10,0.00,46.87,0.00,11.35,0.00,1.67
"NO ABANDONO",55.64,0.00,27.47,0.00,15.10,0.00,0.00
"NO ABANDONO",15.41,0.00,45.07,13.35,26.15,0.00,0.00
"NO ABANDONO",36.21,0.00,31.66,0.00,32.12,0.00,0.00
"ABANDONO",7.80,49.22,0.00,25.90,17.06,0.00,0.00
"NO ABANDONO",0.00,70.67,24.59,4.72,0.00,0.00,0.00
"NO ABANDONO",1.53,54.48,0.00,8.52,35.45,0.00,0.00
"NO ABANDONO",21.96,0.00,35.93,20.78,21.31,0.00,0.00
"NO ABANDONO",67.69,3.75,20.19,2.20,1.35,0.00,0.00
"ABANDONO",1.65,70.99,0.00,16.92,10.42,0.00,0.00
"ABANDONO",33.30,51.55,0.00,15.14,0.00,0.00,0.00
"ABANDONO",17.85,46.67,21.62,5.00,8.84,0.00,0.00
"ABANDONO",0.00,68.31,0.00,30.03,1.65,0.00,0.00
"ABANDONO",0.00,43.46,15.23,3.29,33.02,0.00,4.98
"ABANDONO",9.16,34.99,0.00,39.08,16.75,0.00,0.00
"ABANDONO",23.70,43.49,0.00,20.35,0.00,0.00,12.45
"ABANDONO",28.03,47.32,0.00,24.63,0.00,0.00,0.00
"ABANDONO",17.68,63.57,0.00,7.50,5.09,0.00,0.00
"ABANDONO",23.00,36.89,0.00,33.83,6.25,0.00,0.00
"ABANDONO",24.65,20.02,0.00,55.32,0.00,0.00,0.00
"ABANDONO",7.27,43.22,0.00,6.67,0.00,0.00,42.83
"ABANDONO",11.29,25.99,0.00,11.60,0.00,0.00,51.10
"ABANDONO",0.00,64.07,0.00,35.92,0.00,0.00,0.00
"NO ABANDONO",71.26,0.00,15.48,2.86,10.38,0.00,0.00
"ABANDONO",6.24,71.66,4.67,3.83,13.57,0.00,0.00
"ABANDONO",29.26,42.62,0.00,23.98,0.00,0.00,4.11
"ABANDONO",8.88,12.99,0.00,0.00,24.55,0.00,53.56
"ABANDONO",13.71,17.01,0.00,68.03,1.23,0.00,0.00
"ABANDONO",23.78,13.07,0.00,48.30,9.66,0.00,5.17
"NO ABANDONO",21.08,0.00,48.83,5.35,23.60,0.00,1.13
"NO ABANDONO",64.98,0.00,27.66,0.00,7.35,0.00,0.00
"NO ABANDONO",44.02,0.00,52.26,0.00,3.71,0.00,0.00
"NO ABANDONO",47.39,0.00,43.25,9.35,0.00,0.00,0.00
"NO ABANDONO",38.34,0.00,32.84,6.80,22.01,0.00,0.00
"ABANDONO",4.71,60.27,0.00,24.12,10.88,0.00,0.00
"NO ABANDONO",61.97,0.00,26.03,3.90,8.08,0.00,0.00
"ABANDONO",20.38,13.93,0.00,60.03,5.64,0.00,0.00
"ABANDONO",27.53,57.49,0.00,12.22,2.74,0.00,0.00
"NO ABANDONO",22.81,0.00,39.27,0.00,37.90,0.00,0.00
"NO ABANDONO",35.63,2.80,22.81,22.95,8.32,0.00,7.47
"ABANDONO",1.94,5.16,0.00,66.20,24.68,0.00,1.99
"NO ABANDONO",60.07,0.00,25.25,4.51,10.15,0.00,0.00
"ABANDONO",17.55,22.01,0.00,37.82,20.51,0.00,2.09
"ABANDONO",39.21,58.19,0.00,0.00,0.00,0.00,2.58
"ABANDONO",23.34,61.06,0.00,0.00,0.00,0.00,15.59
"NO ABANDONO",47.54,0.00,28.95,0.00,18.09,0.00,5.40
"NO ABANDONO",100.00,0.00,0.00,0.00,0.00,0.00,0.00
"ABANDONO",29.85,52.66,0.00,0.00,0.00,0.00,17.48
"NO ABANDONO",31.96,2.18,28.08,16.61,16.27,0.00,4.87
"ABANDONO",19.95,22.73,10.14,47.16,0.00,0.00,0.00
"NO ABANDONO",45.99,0.00,28.55,15.67,0.00,0.00,9.77
"NO ABANDONO",56.59,7.45,31.11,0.00,1.30,0.00,3.52
"NO ABANDONO",36.32,0.00,30.39,0.00,33.27,0.00,0.00
"NO ABANDONO",36.32,0.00,30.39,0.00,33.27,0.00,0.00
"NO ABANDONO",32.46,0.00,32.44,0.00,0.00,0.00,35.08
"ABANDONO",31.44,45.63,0.00,21.75,0.00,0.00,1.16
"ABANDONO",20.94,61.23,6.58,9.19,2.03,0.00,0.00
"ABANDONO",0.00,48.72,11.35,39.92,0.00,0.00,0.00
