ABANDONADO;CULT;MALEZA;DESCAMPADO;VEGETACION;CIELO;SUELO_DESNUDO;PAISAJE
NO ABANDONO;44,47513812;5,790055249;18,96132597;0;27,44751381;0;3,325966851
NO ABANDONO;54,46729786;0;23,44107085;13,45086516;1,33855697;0;3,993905757
NO ABANDONO;73,42562432;0;2,823018458;3,460912052;11,49565689;0;5,917480999
ABANDONO;5,673139865;42,31944141;14,7828933;9,786166267;27,43835915;0;0
NO ABANDONO;29,98562333;0;41,12754159;2,659683713;26,22715137;0;0
NO ABANDONO;15,73057432;3,916807432;34,06883446;5,363175676;34,10050676;0;6,820101351
NO ABANDONO;50,70682237;5,691456669;0;8,531038722;32,7228027;0;2,347879533
ABANDONO;7,353293413;31,4011976;17,34131737;26,19161677;17,71257485;0;0
NO ABANDONO;50,1497006;0;26,43284859;6,159110351;17,25834046;0;0
ABANDONO;0;57,25086632;0;36,93163919;5,817494487;0;0
NO ABANDONO;44,06138322;4,47761194;34,18120664;3,74185411;13,53794408;0;0
ABANDONO;0;31,47883452;20,19791094;15,0522265;31,8746564;0;1,396371633
ABANDONO;0;38,58424726;0;8,884457738;26,01085632;0;26,52043868
ABANDONO;0;59,41176471;0;0;5,039215686;0;35,54901961
ABANDONO;15,35782141;14,72450918;0;56,41228626;10,95630146;0;2,549081697
NO ABANDONO;42,20889442;1,301346611;13,39821206;10,33156048;24,10320244;1,787937083;0
NO ABANDONO;48,22285216;1,537287396;34,73615351;0;15,50370693;0;0
NO ABANDONO;60,79779917;2,751031637;0;0;14,48876662;20,19715727;1,7652453
ABANDONO;0;45,5982641;0;13,78383964;40,61789626;0;0
ABANDONO;0;22,12604244;26,8658292;13,39596749;37,61216088;0;0
ABANDONO;19,74348192;64,82338099;0;13,13078217;0;0;2,30235492
ABANDONO;0;54,80576692;6,86824189;12,21465759;26,1113336;0;0
NO ABANDONO;65,29831455;1,623410195;27,28776755;4,456622893;1,33388481;0;0
NO ABANDONO;42,41848686;1,4033977;50,7439063;0;5,434209138;0;0
ABANDONO;17,17642079;57,14890465;0;0;0;0;25,67467457
ABANDONO;24,62264151;51,85534591;3,542976939;0;3,658280922;0;16,32075472
NO ABANDONO;49,37340697;1,635514019;35,60960068;7,848343246;5,533135089;0;0
NO ABANDONO;49,37340697;1,635514019;35,60960068;7,848343246;5,533135089;0;0
NO ABANDONO;49,37340697;1,635514019;35,60960068;7,848343246;5,533135089;0;0
ABANDONO;17,71103695;37,15239155;0;31,96143864;1,853911754;0;11,32122111
ABANDONO;14,0286607;8,156448659;0;55,45738606;4,83784075;0;0
NO ABANDONO;43,73427853;1,829407729;28,97324491;0;21,32403384;0;2,355362451
ABANDONO;13,92140468;25,13586957;0;52,85326087;8,089464883;0;0
ABANDONO;3,40706573;9,560750603;20,33756159;51,37855121;15,31607087;0;0
ABANDONO;20,18489985;23,71696101;0;35,72359844;14,21121252;0;6,163328197
ABANDONO;9,576073535;49,27973659;0;37,35766223;3,786527644;0;0
NO ABANDONO;46,83148008;0;47,759905;0;5,40861492;0;0
NO ABANDONO;50,90146751;7,882599581;32,89308176;0;8,322851153;0;0
ABANDONO;15,89147287;27,27844123;5,782526713;44,40603394;6,641525246;0;0
ABANDONO;5,747249226;74,88516184;4,550795855;1,922871488;5,982266852;0;0
NO ABANDONO;56,18922758;1,518627772;28,84300229;0;7,614989621;0;0
NO ABANDONO;32,10644919;11,83603391;34,85352506;0;19,30464642;0;1,899345423
NO ABANDONO;22,86364129;0;44,41676595;0;24,54240225;0;6,335968808
ABANDONO;10,05154639;57,23797251;0;17,85867698;14,85180412;0;0
NO ABANDONO;37,08434498;0;28,29093212;11,03135226;0;0;23,59337063
ABANDONO;0;31,84203621;48,47808974;3,542377329;8,226187352;0;7,911309368
NO ABANDONO;13,18769301;0;38,38499371;3,374127874;38,31636738;0;6,736818026
NO ABANDONO;40,1039938;0;46,87465428;0;11,35081314;0;1,670538776
NO ABANDONO;55,6462285;0;27,47022497;0;15,10807234;0;0
NO ABANDONO;15,4149776;0;45,07147429;13,35609132;26,1574568;0;0
NO ABANDONO;36,21363439;0;31,66521928;0;32,12114633;0;0
ABANDONO;7,806149036;49,22355393;0;25,90932777;17,06096925;0;0
NO ABANDONO;0;70,67894131;24,59148446;4,729574223;0;0;0
NO ABANDONO;1,53256705;54,48275862;0;8,527640941;35,45703339;0;0
NO ABANDONO;21,96157283;0;35,93610366;20,78865058;21,31367292;0;0
NO ABANDONO;67,69547325;3,757851419;20,19709768;2,209226771;1,353692874;0;0
ABANDONO;1,654547371;70,99799768;0;16,92486036;10,42259458;0;0
ABANDONO;33,30020978;51,5512863;0;15,14850392;0;0;0
ABANDONO;17,85302039;46,67179684;21,62370142;5,001923817;8,849557522;0;0
ABANDONO;0;68,31194472;0;30,03180871;1,656246572;0;0
ABANDONO;0;43,46425603;15,23275145;3,293848712;33,02161264;0;4,987531172
ABANDONO;9,167785235;34,99328859;0;39,08724832;16,75167785;0;0
ABANDONO;23,70167492;43,49520699;0;20,3518382;0;0;12,45127989
ABANDONO;28,03830911;47,32496697;0;24,63672391;0;0;0
ABANDONO;17,68459435;63,57110301;0;7,50911577;5,093436645;0;0
ABANDONO;23,0081826;36,89707149;0;33,83936262;6,25538329;0;0
ABANDONO;24,65216291;20,02276752;0;55,32506957;0;0;0
ABANDONO;7,272727273;43,22147651;0;6,674801708;0;0;42,83099451
ABANDONO;11,29702654;25,99381861;0;11,60609613;0;0;51,10305872
ABANDONO;0;64,07171503;0;35,92828497;0;0;0
NO ABANDONO;71,26077586;0;15,48491379;2,86637931;10,38793103;0;0
ABANDONO;6,243980738;71,66934189;4,67094703;3,836276083;13,57945425;0;0
ABANDONO;29,2665559;42,6299549;0;23,98528365;0;0;4,118205554
ABANDONO;8,88030888;12,998713;0;0;24,55598456;0;53,56499356
ABANDONO;13,71836784;17,01174476;0;68,03487105;1,235016346;0;0
ABANDONO;23,78803778;13,07450157;0;48,30010493;9,664218258;0;5,173137461
NO ABANDONO;21,08008258;0;48,83190264;5,356948821;23,60099967;0;1,130066283
NO ABANDONO;64,98179482;0;27,66116942;0;7,357035768;0;0
NO ABANDONO;44,0237565;0;52,26429102;0;3,711952487;0;0
NO ABANDONO;47,39351558;0;43,25068871;9,355795719;0;0;0
NO ABANDONO;38,3432484;0;32,84319228;6,802110226;22,0114491;0;0
ABANDONO;4,716877405;60,27487631;0;24,12314458;10,8851017;0;0
NO ABANDONO;61,97743862;0;26,03406326;3,904003539;8,084494581;0;0
ABANDONO;20,38635873;13,93265703;0;60,03669329;5,644290956;0;0
ABANDONO;27,5380983;57,49087787;0;12,22365314;2,74737068;0;0
NO ABANDONO;22,81914337;0;39,27112787;0;37,90972877;0;0
NO ABANDONO;35,63636364;2,802139037;22,81283422;22,95187166;8,320855615;0;7,475935829
ABANDONO;1,946753657;5,166789435;0;66,20014732;24,68694097;0;1,99936862
NO ABANDONO;60,07508005;0;25,25118693;4,515844098;10,15788893;0;0
ABANDONO;17,55493812;22,01313463;0;37,82520839;20,51022986;0;2,096489012
ABANDONO;39,21794135;58,19436458;0;0;0;0;2,587694077
ABANDONO;23,34554614;61,06022441;0;0;0;0;15,59422945
NO ABANDONO;47,54680439;0;28,95416398;0;18,09769744;0;5,401334194
NO ABANDONO;100;0;0;0;0;0;0
ABANDONO;29,85519591;52,66183986;0;0;0;0;17,48296422
NO ABANDONO;31,96990569;2,182897107;28,08095793;16,61544983;16,27635901;0;4,874430433
ABANDONO;19,95480226;22,73446328;10,14689266;47,16384181;0;0;0
NO ABANDONO;45,99646096;0;28,55562929;15,67131166;0;0;9,776598098
NO ABANDONO;56,59637597;7,459997881;31,11158207;0;1,303380312;0;3,52866377
NO ABANDONO;36,32930514;0;30,39490721;0;33,27578766;0;0
NO ABANDONO;36,32930514;0;30,39490721;0;33,27578766;0;0
NO ABANDONO;32,46670218;0;32,44539158;0;0;0;35,08790623
ABANDONO;31,4429136;45,63708213;0;21,75584748;0;0;1,164156787
ABANDONO;20,94587146;61,23911366;6,581413295;9,194135156;2,039466431;0;0
ABANDONO;0;48,72086413;11,35588403;39,92325185;0;0;0
ABANDONO;7,011631699;48,35308186;2,435047288;26,04630938;10,15327753;0;6,000652245
ABANDONO;7,121941017;85,92344698;2,133444886;0;4,82116712;0;0
ABANDONO;18,56257118;11,21093256;0;67,55662407;2,6698722;0;0
NO ABANDONO;38,5595921;0;29,89165073;3,632887189;27,91586998;0;0
NO ABANDONO;50,86003373;0;32,14165261;16,99831366;0;0;0
NO ABANDONO;43,2875831;2,305382801;54,4070341;0;0;0;0
ABANDONO;33,32898683;47,82892163;0;13,61324814;5,228843395;0;0
ABANDONO;36,33637921;56,52484295;0;7,138777841;0;0;0
ABANDONO;32,36725424;52,08175625;0;4,996214989;10,55477452;0;0
ABANDONO;21,76870748;59,0648958;0;11,13270705;8,033689666;0;0
NO ABANDONO;18,02688098;8,95108771;38,21532493;8,036580297;26,77012609;0;0
NO ABANDONO;48,76041889;8,292370165;30,48728361;0;0;0;12,45992733
ABANDONO;38,87752783;61,12247217;0;0;0;0;0
ABANDONO;22,09367629;39,59339548;0;6,031674716;0;0;32,28125351
NO ABANDONO;76,4758232;0;0;0;23,5241768;0;0
ABANDONO;22,95016611;40,11960133;0;25,59468439;0;0;11,33554817
ABANDONO;12,17633212;65,17226621;0;7,746629574;0;0;14,9047721
ABANDONO;0;75,67809908;1,255323918;0;6,635283569;0;16,43129343
ABANDONO;0;61,95357251;0;0;26,74103105;0;11,30539644
