"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"2055389",8.73,21.70,6.61,"Panorámica","L",0
"2055390",5.98,22.57,4.71,"Panorámica","L",0
"2055393",14.39,23.18,4.95,"Panorámica","L",0
"2055402",7.76,6.23,5.40,"Panorámica","L",0
"2055403",38.92,10.67,0.00,"Panorámica","L",0
"2055409",18.26,2.97,3.42,"Panorámica","L",0
"2055412",0.00,3.92,10.08,"Panorámica","L",0
"2055414",0.00,6.98,11.57,"Panorámica","L",0
"2055419",17.42,19.19,2.11,"Panorámica","L",0
"2055421",18.82,15.29,1.12,"Panorámica","L",0
"2055424",3.58,9.42,8.70,"Panorámica","L",0
"2055427",21.05,14.95,0.00,"Panorámica","L",0
"2055429",9.99,11.80,8.04,"Panorámica","L",0
"2055435",0.00,9.67,1.13,"Panorámica","L",0
"2055441",20.95,16.31,6.72,"Panorámica","L",0
"2055443",9.71,21.39,3.71,"Panorámica","L",0
"2055445",37.91,6.70,2.17,"Panorámica","L",0
"2055449",8.11,17.84,6.22,"Panorámica","L",0
"2055452",13.46,15.71,1.43,"Panorámica","L",0
"2055453",27.56,11.00,0.00,"Panorámica","L",0
"2055454",20.34,26.68,4.81,"Panorámica","L",0
"2055455",10.87,6.99,1.00,"Panorámica","L",0
"2055456",24.85,16.88,0.00,"Panorámica","L",0
"2055457",2.37,7.12,5.99,"Panorámica","L",0
"2055458",1.04,12.56,5.74,"Panorámica","L",0
"2055459",37.00,0.00,13.12,"Panorámica","L",0
"2055462",10.60,18.63,0.00,"Panorámica","L",0
"2055463",15.44,11.50,10.96,"Panorámica","L",0
"2055464",30.81,19.82,0.00,"Detalle","L",0
"2055465",10.73,0.00,0.00,"Detalle","L",0
"2055467",17.54,21.98,1.52,"Panorámica","L",0
"2055468",43.36,9.36,0.00,"Detalle","L",0
"2055469",14.18,23.48,2.94,"Panorámica","L",0
"2055470",37.28,12.11,0.00,"Panorámica","L",0
"2055471",47.21,3.56,1.62,"Detalle","L",0
"2055472",27.26,20.68,0.00,"Panorámica","L",0
"2055475",6.96,4.93,17.65,"Panorámica","L",0
"2055476",13.62,17.92,3.43,"Panorámica","L",0
"2055477",8.26,4.95,6.62,"Panorámica","L",0
"2055478",21.86,11.74,1.51,"Panorámica","L",0
"2055479",9.26,18.30,1.60,"Panorámica","L",0
"2055481",23.18,8.07,2.66,"Panorámica","L",0
"2055482",14.74,4.44,6.08,"Panorámica","L",0
"2055483",12.87,18.29,2.98,"Panorámica","L",0
"2055487",22.64,1.06,0.00,"Panorámica","L",0
"2055490",30.25,12.76,5.62,"Panorámica","L",0
"2055491",15.26,17.94,3.34,"Panorámica","L",0
"2055495",12.48,12.49,2.66,"Panorámica","L",0
"2055496",0.00,28.12,1.97,"Panorámica","L",0
"2055501",8.84,0.00,28.66,"Panorámica","L",0
"2055503",0.00,0.00,16.31,"Panorámica","L",0
"2055504",10.36,15.23,2.55,"Panorámica","L",0
