"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1910253",34.39,17.66,0.00,"Panorámica","H",0
"1910254",38.19,41.61,0.00,"Panorámica","H",0
"1910264",24.81,43.07,0.00,"Panorámica","H",0
"1910267",41.54,46.68,2.74,"Panorámica","H",0
"1910279",52.37,37.97,6.10,"Panorámica","H",0
"1910284",38.88,35.37,8.18,"Panorámica","H",0
"1910298",18.08,43.30,4.62,"Panorámica","H",0
"1910300",18.01,26.96,0.00,"Panorámica","H",0
"1910321",53.76,15.13,1.11,"Detalle","H",0
"1910323",10.46,61.68,0.00,"Panorámica","H",0
"1910324",9.38,52.04,0.00,"Panorámica","H",0
"1910393",29.00,37.40,0.00,"Panorámica","H",0
"1910438",57.41,26.13,0.00,"Detalle","H",0
"1910478",43.88,30.15,0.00,"Panorámica","H",0
"1910481",38.19,28.18,0.00,"Panorámica","H",0
"1910483",25.05,27.25,0.00,"Panorámica","H",0
"1910486",33.21,32.42,0.00,"Panorámica","H",0
"1910487",76.62,14.59,0.00,"Detalle","H",0
"1910488",57.79,29.05,0.00,"Panorámica","H",0
"1910489",71.93,16.40,0.00,"Detalle","H",0
"1910490",67.02,22.89,0.00,"Panorámica","H",0
"1910492",35.32,38.63,0.00,"Panorámica","H",0
"1910493",66.19,31.80,0.00,"Panorámica","H",0
"1910494",73.42,24.78,0.00,"Detalle","H",0
"1910498",49.42,20.10,3.71,"Panorámica","H",0
"1910502",66.23,30.88,1.17,"Panorámica","H",0
"1910507",15.90,40.64,1.08,"Panorámica","H",0
"1910509",8.29,49.79,1.99,"Panorámica","H",0
"1910779",39.64,32.74,0.00,"Panorámica","H",0
"1910780",32.83,26.97,3.08,"Panorámica","H",0
"1910795",50.10,33.40,1.50,"Panorámica","H",0
"1910796",14.11,28.49,0.00,"Panorámica","H",0
"1910798",23.56,17.07,0.00,"Panorámica","H",0
"1910799",35.69,20.12,0.00,"Panorámica","H",0
"1910811",26.97,44.90,0.00,"Panorámica","H",0
"1910816",33.72,23.20,0.00,"Panorámica","H",0
"1910835",20.34,44.45,3.55,"Panorámica","H",0
"1910846",23.51,52.31,2.27,"Panorámica","H",0
"1910848",15.69,33.19,0.00,"Panorámica","H",0
"1910852",39.01,42.20,4.56,"Panorámica","H",0
"1910853",44.27,44.22,1.19,"Panorámica","H",0
"1910858",25.03,63.82,2.78,"Panorámica","H",0
"1910862",43.37,50.95,2.74,"Panorámica","H",0
"1910872",28.15,56.83,0.00,"Panorámica","H",0
"1910874",56.26,21.22,0.00,"Panorámica","H",0
"1910941",24.35,28.23,0.00,"Panorámica","H",0
"1910942",39.28,26.07,5.60,"Panorámica","H",0
"1910945",28.08,39.93,2.69,"Panorámica","H",0
"1910947",35.10,32.17,0.00,"Panorámica","H",0
"1910957",16.02,3.64,0.00,"Panorámica","H",0
"1910975",37.03,34.83,0.00,"Panorámica","H",0
"1910990",35.02,41.08,0.00,"Panorámica","H",0
"1910995",33.62,44.60,5.70,"Panorámica","H",0
"1911257",35.88,33.04,6.72,"Panorámica","H",0
"1911258",37.36,46.69,4.73,"Panorámica","H",0
"1911300",23.34,59.88,3.61,"Panorámica","H",0
"1911380",51.53,0.00,0.00,"Detalle","H",0
"1911402",51.92,0.00,12.56,"Panorámica","H",0
